pack_player_id,player_name,position,nfl_team,fbg_id,cbs_id,fantasypros_id,gsis_id,model_id,source_as_of,exported_at,scoring_fingerprint,authority,fbg_points,cbs_points,fantasypros_points,raw_consensus_points,mean_reversion_delta,within_position_delta,season_context_delta,durability_delta,availability_delta,modified_projection_points,uncertainty_low,uncertainty_high,fallback_reason,wk1,wk2,wk3,wk4,wk5,wk6,wk7,wk8,wk9,wk10,wk11,wk12,wk13,wk14,wk15,wk16,wk17,wk18
fbg:StovCa00,Cade Stover,TE,HOU,StovCa00,,,,tb-cbs-fbg-refresh-20260812,2026-08-12T22:55:51.496Z,2026-08-12T22:55:51.496Z,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,9.5,34.7,33.2,25.7,0,0,0,0,0,25.7,9.5,34.7,,,,,,,,,,,,,,,,,,,
fbg:StolJa00,Jack Stoll,TE,CLE,StolJa00,,,,tb-cbs-fbg-refresh-20260812,2026-08-12T22:55:51.496Z,2026-08-12T22:55:51.496Z,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,14.2,25.8,7.8,15.9,0,0,0,0,0,15.9,7.8,25.8,,,,,,,,,,,,,,,,,,,
fbg:BlueJa01,Jaydon Blue,RB,DAL,BlueJa01,,,,tb-cbs-fbg-refresh-20260812,2026-08-12T22:55:51.496Z,2026-08-12T22:55:51.496Z,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,72,19.7,46.5,46.3,0,0,0,0,0,46.3,19.7,72,,,,,,,,,,,,,,,,,,,
fbg:TagoTu00,Tua Tagovailoa,QB,ATL,TagoTu00,,,,tb-cbs-fbg-refresh-20260812,2026-08-12T22:55:51.496Z,2026-08-12T22:55:51.496Z,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,185,263.5,187.8,211.8,0,0,0,0,0,211.8,185,263.5,,,,,,,,,,,,,,,,,,,
cbs:2787078,Jelani Woods,TE,NYJ,,,,,tb-cbs-fbg-refresh-20260812,2026-08-12T22:55:51.496Z,2026-08-12T22:55:51.496Z,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,,15.9,0,7.9,0,0,0,0,0,7.9,0,15.9,,,,,,,,,,,,,,,,,,,
cbs:2964419,Blake Whiteheart,TE,CLE,,,,,tb-cbs-fbg-refresh-20260812,2026-08-12T22:55:51.496Z,2026-08-12T22:55:51.496Z,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,,15.9,0,7.9,0,0,0,0,0,7.9,0,15.9,,,,,,,,,,,,,,,,,,,
fbg:ColeKe01,Keon Coleman,WR,BUF,ColeKe01,,,,tb-cbs-fbg-refresh-20260812,2026-08-12T22:55:51.496Z,2026-08-12T22:55:51.496Z,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,73.3,63.2,59.4,65.3,0,0,0,0,0,65.3,59.4,73.3,,,,,,,,,,,,,,,,,,,
fbg:JolyJu00,Justin Joly,TE,DEN,JolyJu00,,,,tb-cbs-fbg-refresh-20260812,2026-08-12T22:55:51.496Z,2026-08-12T22:55:51.496Z,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,17.6,28.4,19.3,21.7,0,0,0,0,0,21.7,17.6,28.4,,,,,,,,,,,,,,,,,,,
fbg:WhylJo00,Josh Whyle,TE,GB,WhylJo00,,,,tb-cbs-fbg-refresh-20260812,2026-08-12T22:55:51.496Z,2026-08-12T22:55:51.496Z,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,15.6,23.8,23.6,21,0,0,0,0,0,21,15.6,23.8,,,,,,,,,,,,,,,,,,,
fbg:AtweTu00,Tutu Atwell,WR,MIA,AtweTu00,,,,tb-cbs-fbg-refresh-20260812,2026-08-12T22:55:51.496Z,2026-08-12T22:55:51.496Z,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,66,76.8,53.9,65.5,0,0,0,0,0,65.5,53.9,76.8,,,,,,,,,,,,,,,,,,,
fbg:HaweJa00,Jackson Hawes,TE,BUF,HaweJa00,,,,tb-cbs-fbg-refresh-20260812,2026-08-12T22:55:51.496Z,2026-08-12T22:55:51.496Z,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,15.4,34,30.5,26.6,0,0,0,0,0,26.6,15.4,34,,,,,,,,,,,,,,,,,,,
fbg:MoreFo00,Foster Moreau,TE,HOU,MoreFo00,,,,tb-cbs-fbg-refresh-20260812,2026-08-12T22:55:51.496Z,2026-08-12T22:55:51.496Z,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,15.2,35,27.7,25.9,0,0,0,0,0,25.9,15.2,35,,,,,,,,,,,,,,,,,,,
fbg:WalkDe01,Devontez Walker,WR,BAL,WalkDe01,,,,tb-cbs-fbg-refresh-20260812,2026-08-12T22:55:51.496Z,2026-08-12T22:55:51.496Z,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,57.3,68.4,35.2,53.6,0,0,0,0,0,53.6,35.2,68.4,,,,,,,,,,,,,,,,,,,
fbg:LloyMa00,MarShawn Lloyd,RB,GB,LloyMa00,,,,tb-cbs-fbg-refresh-20260812,2026-08-12T22:55:51.496Z,2026-08-12T22:55:51.496Z,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,72.1,21.4,43.5,45.9,0,0,0,0,0,45.9,21.4,72.1,,,,,,,,,,,,,,,,,,,
fbg:RuckJe00,Jeremy Ruckert,TE,NYJ,RuckJe00,,,,tb-cbs-fbg-refresh-20260812,2026-08-12T22:55:51.496Z,2026-08-12T22:55:51.496Z,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,8.7,57.7,42.1,36,0,0,0,0,0,36,8.7,57.7,,,,,,,,,,,,,,,,,,,
fbg:RousSa00,Sam Roush,TE,CHI,RousSa00,,,,tb-cbs-fbg-refresh-20260812,2026-08-12T22:55:51.496Z,2026-08-12T22:55:51.496Z,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,14.7,26.4,17.5,19.5,0,0,0,0,0,19.5,14.7,26.4,,,,,,,,,,,,,,,,,,,
fbg:KacmWi00,Will Kacmarek,TE,MIA,KacmWi00,,,,tb-cbs-fbg-refresh-20260812,2026-08-12T22:55:51.496Z,2026-08-12T22:55:51.496Z,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,13.9,83.3,61.9,52.8,0,0,0,0,0,52.8,13.9,83.3,,,,,,,,,,,,,,,,,,,
fbg:FarrLu00,Luke Farrell,TE,SF,FarrLu00,,,,tb-cbs-fbg-refresh-20260812,2026-08-12T22:55:51.496Z,2026-08-12T22:55:51.496Z,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,12.6,15.9,10.1,12.9,0,0,0,0,0,12.9,10.1,15.9,,,,,,,,,,,,,,,,,,,
fbg:BrooCh01,Chris Brooks,RB,GB,BrooCh01,,,,tb-cbs-fbg-refresh-20260812,2026-08-12T22:55:51.496Z,2026-08-12T22:55:51.496Z,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,47.3,89.8,66.9,67.8,0,0,0,0,0,67.8,47.3,89.8,,,,,,,,,,,,,,,,,,,
fbg:DaviRa02,Ray Davis,RB,BUF,DaviRa02,,,,tb-cbs-fbg-refresh-20260812,2026-08-12T22:55:51.496Z,2026-08-12T22:55:51.496Z,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,66.1,19.6,36.2,40.8,0,0,0,0,0,40.8,19.6,66.1,,,,,,,,,,,,,,,,,,,
fbg:WashMi00,Mike Washington Jr.,RB,LV,WashMi00,,,,tb-cbs-fbg-refresh-20260812,2026-08-12T22:55:51.496Z,2026-08-12T22:55:51.496Z,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,55.6,100.8,77.4,77.8,0,0,0,0,0,77.8,55.6,100.8,,,,,,,,,,,,,,,,,,,
fbg:SaubEr00,Eric Saubert,TE,SEA,SaubEr00,,,,tb-cbs-fbg-refresh-20260812,2026-08-12T22:55:51.496Z,2026-08-12T22:55:51.496Z,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,9.8,0,8.6,6.2,0,0,0,0,0,6.2,0,9.8,,,,,,,,,,,,,,,,,,,
