pack_player_id,player_name,position,nfl_team,fbg_id,cbs_id,fantasypros_id,gsis_id,model_id,source_as_of,exported_at,scoring_fingerprint,authority,fbg_points,cbs_points,fantasypros_points,raw_consensus_points,mean_reversion_delta,within_position_delta,season_context_delta,durability_delta,availability_delta,modified_projection_points,uncertainty_low,uncertainty_high,fallback_reason,wk1,wk2,wk3,wk4,wk5,wk6,wk7,wk8,wk9,wk10,wk11,wk12,wk13,wk14,wk15,wk16,wk17,wk18
fbg:YorkCa44,Cade York,K,NYJ,YorkCa44,,,,replace-with-immutable-model-id,,,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,6.9,0,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
fbg:WrigBr00,Brock Wright,TE,DET,WrigBr00,,,,replace-with-immutable-model-id,,,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,25,82.2,50.7,52.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
cbs:2183713,Donald Parham Jr.,TE,PIT,,2183713,,,replace-with-immutable-model-id,,,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,,24.8,,24.8,,,,,,,,,Document the explicit fallback used,,,,,,,,,,,,,,,,,,
cbs:2253359,Ian Thomas,TE,LV,,2253359,,,replace-with-immutable-model-id,,,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,,24.8,8.6,16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
cbs:28875704,Jaren Kanak,TE,TEN,,28875704,,,replace-with-immutable-model-id,,,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,,24.8,25.6,25.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
cbs:2963243,Zack Kuntz,TE,MIA,,2963243,,,replace-with-immutable-model-id,,,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,,24.8,,24.8,,,,,,,,,Document the explicit fallback used,,,,,,,,,,,,,,,,,,
cbs:3169583,Jaheim Bell,TE,PIT,,3169583,,,replace-with-immutable-model-id,,,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,,24.8,,24.8,,,,,,,,,Document the explicit fallback used,,,,,,,,,,,,,,,,,,
fbg:LegeXa00,Xavier Legette,WR,CAR,LegeXa00,,,,replace-with-immutable-model-id,,,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,78.9,79.3,111.8,90,,,,,,,,,,,,,,,,,,,,,,,,,,,
fbg:SmytDu00,Durham Smythe,TE,BAL,SmytDu00,,,,replace-with-immutable-model-id,,,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,24.5,21.2,23.2,23,,,,,,,,,,,,,,,,,,,,,,,,,,,
fbg:HuntTr00,Travis Hunter,WR,JAX,HuntTr00,,,,replace-with-immutable-model-id,,,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,78.7,61.9,111.9,84.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
fbg:KolaCh00,Charlie Kolar,TE,LAC,KolaCh00,,,,replace-with-immutable-model-id,,,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,24.3,82,55,53.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
fbg:KleiMa00,Marlin Klein,TE,HOU,KleiMa00,,,,replace-with-immutable-model-id,,,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,24.1,79,44.5,49,,,,,,,,,,,,,,,,,,,,,,,,,,,
cbs:2167520,Chris Manhertz,TE,NYG,,2167520,,,replace-with-immutable-model-id,,,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,,23.8,14.1,18.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
cbs:2961855,Cole Turner,TE,MIA,,2961855,,,replace-with-immutable-model-id,,,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,,23.8,0,11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
cbs:2975736,John FitzPatrick,TE,GB,,2975736,,,replace-with-immutable-model-id,,,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,,23.8,,23.8,,,,,,,,,Document the explicit fallback used,,,,,,,,,,,,,,,,,,
cbs:3168310,Drake Dabney,TE,GB,,3168310,,,replace-with-immutable-model-id,,,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,,23.8,24.4,24.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
fbg:AlieMo00,Mo Alie-Cox,TE,IND,AlieMo00,,,,replace-with-immutable-model-id,,,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,23.7,0,27.1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,
cbs:29184228,Carter Runyon,TE,LV,,29184228,,,replace-with-immutable-model-id,,,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,,23.2,,23.2,,,,,,,,,Document the explicit fallback used,,,,,,,,,,,,,,,,,,
fbg:WestNi00,Nick Westbrook-Ikhine,WR,IND,WestNi00,,,,replace-with-immutable-model-id,,,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,76.3,58.4,60.3,65.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
fbg:MatsKa00,Kansei Matsuzawa,K,LV,MatsKa00,,,,replace-with-immutable-model-id,,,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,1.9,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
cbs:2239763,Ko Kieft,TE,TB,,2239763,,,replace-with-immutable-model-id,,,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,,21.2,9.1,15.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
cbs:26725942,Andrew Ogletree,TE,IND,,26725942,,,replace-with-immutable-model-id,,,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,,21.2,9,15.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
fbg:HavrLu44,Lucas Havrisik,K,FA,HavrLu44,,,,replace-with-immutable-model-id,,,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,1.4,0,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
fbg:ColeKE02,Kevin Coleman Jr.,WR,MIA,ColeKE02,,,,replace-with-immutable-model-id,,,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,75.1,26.1,52,51.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
fbg:SchoLu00,Luke Schoonmaker,TE,DAL,SchoLu00,,,,replace-with-immutable-model-id,,,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,20.5,33,30.8,28.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
fbg:KartJo00,Joshua Karty,K,FA,KartJo00,,,,replace-with-immutable-model-id,,,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,0.6,0,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
fbg:PratMa44,Matt Prater,K,FA,PratMa44,,,,replace-with-immutable-model-id,,,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,0.6,0,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
fbg:GanoGr44,Graham Gano,K,FA,GanoGr44,,,,replace-with-immutable-model-id,,,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,0.5,0,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
fbg:JohnEm00,Emmett Johnson,RB,KC,JohnEm00,,,,replace-with-immutable-model-id,,,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,64.9,22.3,34.6,40.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
fbg:HibnMa00,Matt Hibner,TE,BAL,HibnMa00,,,,replace-with-immutable-model-id,,,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,19.4,47.7,,33.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
fbg:ZaccOl00,Olamide Zaccheaus,WR,ATL,ZaccOl00,,,,replace-with-immutable-model-id,,,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,73.3,107.1,69.4,83.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
fbg:SimsBe00,Ben Sims,TE,MIA,SimsBe00,,,,replace-with-immutable-model-id,,,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,18.9,72.9,45.1,45.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
fbg:TolbJa00,Jalen Tolbert,WR,MIA,TolbJa00,,,,replace-with-immutable-model-id,,,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,73.2,83,89.8,82,,,,,,,,,,,,,,,,,,,,,,,,,,,
fbg:BourKe00,Kendrick Bourne,WR,ARI,BourKe00,,,,replace-with-immutable-model-id,,,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,72.6,86.5,50.5,69.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
