playerId,name,position,team,sourceRank,primarySource,primaryProjection,scheduleProjection,scheduleVbdDelta,fbg,legacyFbgWeekly,cbs,fantasyPros,pff,sourceMedian,sourceRange,candidateModel,vbd,expectedVbd,vbdDelta,cbsVbd,fantasyProsVbd,pffVbd,intrinsic,market,maxBid,packMarket,packMaxBid,monotoneRoomCurveMarket,fbgValue,fbgGlobalRank,mflAav,fbgLatestTeam,fbgNegativeWeeks,marketPositionRank,fbgPositionRank,mflPositionRank,flags
fbg:StBrAm00,Amon-Ra St. Brown,WR,DET,4,Thunder Bowl Consensus,300.1,303.1,3.0,286.4,182.6,304.7,319.8,289.8,297.3,33.4,298.4,89.3,89.3,0.0,97.5,109.7,71.6,29,27,27,27,27,27,19,20,25.01,DET,1,4,4,6,FBG_NEGATIVE_WEEK
fbg:BrowAJ00,A.J. Brown,WR,NE,5,Thunder Bowl Consensus,258.6,261.6,3.0,272.1,181.4,254.4,255.5,252.3,254.9,19.8,237.0,47.8,47.8,0.0,47.2,45.4,34.1,16,17,18,18,18,18,19,21,20.44,NE,0,8,5,10,
fbg:CookJa05,James Cook III,RB,BUF,7,Thunder Bowl Consensus,270.7,267.7,-3.0,260.1,,263.6,270.5,288.8,267.1,28.7,252.5,78.4,78.4,0.0,77.8,74.2,102.8,28,21,24,24,24,24,33,6,19.88,,,8,5,11,
fbg:LambCe00,CeeDee Lamb,WR,DAL,6,Thunder Bowl Consensus,268.8,271.8,3.0,259.1,177.0,258.8,272.7,284.6,265.9,25.8,249.5,58.0,58.0,0.0,51.6,62.6,66.4,19,21,24,24,24,24,17,23,30.02,DAL,1,6,6,3,FBG_NEGATIVE_WEEK
fbg:BrowCh06,Chase Brown,RB,CIN,8,Thunder Bowl Consensus,277.2,274.2,-3.0,257.3,,297.9,278.8,275.2,277.0,40.6,249.7,84.9,84.9,0.0,112.1,82.5,89.2,30,23,26,31,31,26,21,18,15.31,,,7,13,17,LEGACY_CURVE_IDENTITY_REPAIR
fbg:HampOm00,Omarion Hampton,RB,LAC,9,Thunder Bowl Consensus,239.3,239.2,-0.1,231.8,210.9,221.4,254.4,249.4,240.6,33.0,133.0,49.9,49.9,0.0,35.6,58.1,63.4,17,16,17,17,17,17,26,12,12.02,LAC,0,11,9,22,CANDIDATE_MODEL_OUTLIER
fbg:LondDr00,Drake London,WR,ATL,7,Thunder Bowl Consensus,282.7,285.7,3.0,256.7,166.8,302.7,287.1,284.7,285.9,46.0,270.7,71.9,71.9,0.0,95.5,77.0,66.5,24,24,26,26,26,26,15,29,14.15,ATL,1,5,8,18,FBG_NEGATIVE_WEEK|MARKET_RANK_VS_MFL_12
fbg:AlleJo01,Josh Allen,QB,BUF,1,Thunder Bowl Consensus,392.4,393.8,1.4,407.8,405.3,390.3,415.9,355.4,399.1,60.5,388.5,55.7,55.7,0.0,53.5,70.6,,19,19,20,20,20,20,42,4,26.02,BUF,1,1,1,2,FBG_NEGATIVE_WEEK|PROJECTION_SOURCE_RANGE_50
fbg:McBrTr01,Trey McBride,TE,ARI,2,Thunder Bowl Consensus,250.4,247.4,-3.0,233.1,,267.6,254.4,246.8,250.6,34.5,233.2,75.8,75.8,0.0,87.9,87.2,71.1,27,22,31,31,31,31,10,39,17.38,,,1,2,1,
fbg:JeffJu00,Justin Jefferson,WR,MIN,8,Thunder Bowl Consensus,263.5,266.5,3.0,251.6,165.4,239.7,272.2,290.5,261.9,50.8,233.4,52.7,52.7,0.0,32.5,62.1,72.3,17,18,21,21,21,21,13,32,,MIN,1,7,9,,FBG_NEGATIVE_WEEK|PROJECTION_SOURCE_RANGE_50
fbg:BarkSa00,Saquon Barkley,RB,PHI,10,Thunder Bowl Consensus,251.7,251.7,0.0,249.4,214.5,244.7,264.4,248.3,248.9,19.7,207.8,62.4,62.4,0.0,58.9,68.1,62.3,21,17,18,18,18,18,28,11,25.84,PHI,0,10,8,4,
fbg:CollNi00,Nico Collins,WR,HOU,9,Thunder Bowl Consensus,258.2,257.2,-1.0,255.4,,274.8,252.8,250.2,254.1,24.6,193.3,43.4,43.4,0.0,67.6,42.7,32.0,16,16,17,17,17,17,16,25,20.63,,,9,7,8,CANDIDATE_MODEL_OUTLIER
fbg:WalkKe01,Ken Walker III,RB,KC,11,Thunder Bowl Consensus,237.5,237.1,-0.4,248.3,,226.5,,,237.4,21.8,,47.8,47.8,0.0,40.7,,,17,14,16,16,16,16,22,17,,,,12,12,,
fbg:HallBr01,Breece Hall,RB,NYJ,12,Thunder Bowl Consensus,232.1,230.7,-1.4,235.7,192.3,206.0,245.8,240.4,238.1,39.8,203.5,41.4,41.4,0.0,20.2,49.5,54.4,15,11,12,12,12,12,16,28,13.34,NYJ,0,16,16,19,
fbg:PickGe00,George Pickens,WR,DAL,10,Thunder Bowl Consensus,250.8,253.8,3.0,236.3,164.3,275.7,252.1,239.5,245.8,39.4,254.4,40.0,40.0,0.0,68.5,42.0,21.3,13,13,12,12,12,12,12,34,13.81,DAL,1,11,10,19,FBG_NEGATIVE_WEEK
fbg:MayeDr00,Drake Maye,QB,NE,2,Thunder Bowl Consensus,359.0,359.1,0.1,380.1,378.7,335.9,368.6,350.8,359.7,44.2,327.6,21.0,21.0,0.0,-0.9,23.3,,8,9,9,9,9,9,30,8,12.82,NE,0,4,2,9,
fbg:LoveJe01,Jeremiyah Love,RB,ARI,13,Thunder Bowl Consensus,233.6,233.2,-0.4,224.9,184.2,214.3,255.3,239.6,232.3,41.0,220.1,43.9,43.9,0.0,28.5,59.0,53.6,15,12,13,13,13,13,14,30,51.56,ARI,0,15,17,1,MARKET_RANK_VS_MFL_12
fbg:HenrDe00,Derrick Henry,RB,BAL,14,Thunder Bowl Consensus,256.0,254.7,-1.3,240.2,223.1,270.0,273.7,240.6,255.3,33.5,252.6,65.4,65.4,0.0,84.2,77.4,54.6,23,19,22,22,22,22,30,9,25.63,BAL,0,9,7,5,
fbg:WarrTy00,Tyler Warren,TE,IND,3,Thunder Bowl Consensus,194.2,193.5,-0.7,188.3,109.8,192.2,199.2,197.3,194.8,10.9,207.2,21.9,21.9,0.0,12.5,32.0,21.6,8,10,12,12,12,12,2,80,8.92,IND,0,4,6,9,
fbg:JacoJo00,Josh Jacobs,RB,GB,15,Thunder Bowl Consensus,237.0,236.6,-0.4,226.7,205.0,232.1,248.3,240.9,236.5,21.6,226.6,47.3,47.3,0.0,46.3,52.0,54.9,17,13,14,14,14,14,23,16,19.21,GB,0,13,11,12,
